image_link,name,price
https://m.media-amazon.com/images/I/71TSXjY7SZL._AC_UL320_.jpg,Amul Taza - 1L Pack,72
https://m.media-amazon.com/images/I/812816L+HkL._AC_UL320_.jpg,"Amul Moti Homogenized Toned Milk, 450 ml Pouch",33
https://m.media-amazon.com/images/I/613ysfnrr0L._AC_UL320_.jpg,"Mother Dairy UHT Milk, 1 Ltr",70
https://m.media-amazon.com/images/I/41IdBK3z2kL._AC_UL320_.jpg,"Go UHT Daily Milk, 1 Litre",65
https://m.media-amazon.com/images/I/41viNPJBqPL._AC_UL320_.jpg,"Amul Gold Milk Homogenized Standardized, 1 Litre Carton",78
https://m.media-amazon.com/images/I/41wtmuLk21L._AC_UL320_.jpg,"Amul Taaza - Homogenized Toned Milk, 200ml",16
https://m.media-amazon.com/images/I/71ZjP44K8bL._AC_UL320_.jpg,"Akshayakalpa Organic Cow Milk (UHT)– Pack of 16 (200ml) - long-shelf life, No chemical residues, convenient and ready-to-use, nutritious by nature",451
https://m.media-amazon.com/images/I/71RMvWLaMyL._AC_UL320_.jpg,"Akshayakalpa Organic Cow Milk (UHT) Pack Of 4 (1 Ltr), Long-Shelf Life, Low-Calorie, Low-Fat, No Chemical Residues, Convenient And Ready-To-Use, Nutritious",470
https://m.media-amazon.com/images/I/71BRmRcVckS._AC_UL320_.jpg,"Mother Dairy Uht Fit Litreite Esl Milk, 450ml",32
https://m.media-amazon.com/images/I/41EtFgosKqL._AC_UL320_.jpg,"Go Supremo Milk, 1 Litre",72
https://m.media-amazon.com/images/I/71w+M+sC--L._AC_UL320_.jpg,"Akshayakalpa Organic Slim Milk (UHT)– Pack of 16 (200 ml) - low-calorie, low-fat, long-shelf life, No chemical residues, convenient and ready-to-use, nutritious by nature",526
https://m.media-amazon.com/images/I/61w9BSa2UOL._AC_UL320_.jpg,"Amul Slim 'N' Trim Skimmed Milk, 1 Litre",80
https://m.media-amazon.com/images/I/71VofBkeglL._AC_UL320_.jpg,"Amul Lactose Free Milk, 250 ml",25
https://m.media-amazon.com/images/I/41yGvzAkqeL._AC_UL320_.jpg,Amul Taaza Homogenised Toned Long Life Milk 1 L (Pack of 12),"1,580"
https://m.media-amazon.com/images/I/716xtbsapbL._AC_UL320_.jpg,"Milma UHT Long Life Milk, Pack of 28, 450ml, No Refrigeration Needed for 90 Days",840
https://m.media-amazon.com/images/I/610l2fyyhML._AC_UL320_.jpg,"A+ Nestle Slim Fat Free Milk Liquid Tetra Pack, 1Ltr",87
https://m.media-amazon.com/images/I/61F9k86JSHL._AC_UL320_.jpg,Milke (100 cups of 10g each),449
https://m.media-amazon.com/images/I/81f2sPCHr5L._AC_UL320_.jpg,Dlecta Milke 10ml pack of 50,230
https://m.media-amazon.com/images/I/41yGvzAkqeL._AC_UL320_.jpg,"Amul Taaza Fresh Toned Milk, 1L (Pack of 3), Liquid",699
https://m.media-amazon.com/images/I/71wKKj+8S0L._AC_UL320_.jpg,"Amul Taaza Homogenised Toned Milk, 1L(Pack of 2, Liquid)",480
https://m.media-amazon.com/images/I/41UfU9pp10L._AC_UL320_.jpg,"Amul Lactose Free Milk, 250Ml (Pack Of 6) - Liquid",433
https://m.media-amazon.com/images/I/71oSGUZL69L._AC_UL320_.jpg,Amul Camel Longlife Milk 200 ml Pet Bottle,23
https://m.media-amazon.com/images/I/61esdvx8smL._AC_UL320_.jpg,"Amul Lactose Free Milk, 250ml (Pack of 32) (Including Delvery Charges)","1,799"
https://m.media-amazon.com/images/I/71roCBgy4rL._AC_UL320_.jpg,"Govind UHT Double Toned Milk, Nutritious, Low-Fat Choice for Health-Conscious Individuals 1LTR.",75
https://m.media-amazon.com/images/I/61840Vm5ghL._AC_UL320_.jpg,Unique Liquid Amul Taaza Homogenised Toned Milk 200Ml (Pack Of 2) Unique,32
https://m.media-amazon.com/images/I/51Ft+Ah-gML._AC_UL320_.jpg,"Amul Homogenised Toned Milk Liquid, 1 Lt. (Pack Of 12)","1,699"
https://m.media-amazon.com/images/I/51VfL+C4kJL._AC_UL320_.jpg,Nestle Nido Fortifie Milk Powder 400g,999
https://m.media-amazon.com/images/I/41anx7qh6LL._AC_UL320_.jpg,"Amul Gold Homogenized Liquid Milk, 1 L(Pack Of 3)",699
https://m.media-amazon.com/images/I/41IhHx9blAL._AC_UL320_.jpg,NESTLE Nido (Imported) Filtered Milk Powder 350g,999
https://m.media-amazon.com/images/I/71oroqpmykL._AC_UL320_.jpg,"Dlecta Dairy Creamer Jar, 200 ml",110
https://m.media-amazon.com/images/I/71DBRFH+zyL._AC_UL320_.jpg,Rainbow Evaporated Fresh Original Creamy Milk 410ml (Pack Of 3) (UAE),999
https://m.media-amazon.com/images/I/6111niNdHsL._AC_UL320_.jpg,Rainbow Original Evaporated Fresh Milk its Creamy Texture Alone Enriches Flavour 160ml (Pack Of 12),"2,699"
https://m.media-amazon.com/images/I/71TEA4cL6LL._AC_UL320_.jpg,Rainbow Original Evaporated Fresh Milk Contain Good Source Of Vitamin D3 160ml (Pack Of 2) Liquid,489
https://m.media-amazon.com/images/I/51sKGCEb8KL._AC_UL320_.jpg,"Carnation Milk for Cooking And Bakery, 405 g (1)",305
https://m.media-amazon.com/images/I/71WmluVj-3L._AC_UL320_.jpg,"Rainbow Original Evaporated Milk, 410ml (Imported Product)",699
https://m.media-amazon.com/images/I/718jCB3qARL._AC_UL320_.jpg,"Rainbow Quality Milk Fresh Imported New Version Full Cream Milk Powder, 400g","1,170"
https://m.media-amazon.com/images/I/41Cq9c5xCLL._AC_UL320_.jpg,"Amul Mithai Mate Sweetened Condensed Milk, 400 g - HUMARABAZAR",126
https://m.media-amazon.com/images/I/51nw964-z9L._AC_UL320_.jpg,Rainbow Quality Milk Original - 410 Grams,398
https://m.media-amazon.com/images/I/61U-c5JUXvL._AC_UL320_.jpg,"Dholpur Fresh Low Sugar Dairy Creamer(5 gram) Sachet, More Milk More Creamy 200 Sachet",549
https://m.media-amazon.com/images/I/910qxD4fNpL._AC_UL320_.jpg,Milk,99
https://m.media-amazon.com/images/I/61Bz2pW1M+L._AC_UL320_.jpg,Rainbow Evaporated Milk 270ml Pet Bottle - Creamy Richness for Your Delights - Reclosable Packaging,699
https://m.media-amazon.com/images/I/71qBnH0CPGL._AC_UL320_.jpg,"Rainbow Original Evaporated Milk, 170 Gm - Pack Of 2 (Imported)",499
https://m.media-amazon.com/images/I/517BW0VRlmL._AC_UL320_.jpg,ANANDA Cappuccino Flavoured Milk CAN 180ML,40
https://m.media-amazon.com/images/I/413QliY+NdL._AC_UL320_.jpg,"Milka Alpine Milk, 100g",299
https://m.media-amazon.com/images/I/51zBVOE05KL._AC_UL320_.jpg,Plantmade 100% Plant Based Rice Milk 500 g | Rice Protein Milk Powder | Gluten Free | Vegan Milk | Lactose Free | Dairy Free | No Added Sugar | No Added Preservatives,395
https://m.media-amazon.com/images/I/41UxW8wZs6L._AC_UL320_.jpg,Rainbow Original Evaporated Milk Liquid 385 ml,799
https://m.media-amazon.com/images/I/71RlVVyyU5L._AC_UL320_.jpg,"Nestle Carnation Condensed Milk Drizzle, Delicious on Brownies, Desserts & Berries, 15.87oz ℮ 450 g",289
