name,price
LEARN SCRATCH PROGRAMING,$
View Details,20
LEARN CLOUD COMPUTING BASICS-AWS,$
View Details,30
LEARN MOBILE DEVELOPMENT,$
View Details,20
LEARN CORE JAVA PROGRAMMING ONLINE,$
View Details,20
LEARN ROBOTICS,$
View Details,20
LEARN JAVASCRIPT,$
View Details,20
LEARN NODE JS,$
View Details,20
LEARN CLOUD COMPUTING ADVANCE-AWS,$
View Details,35
PYTHON PROGRAMMING-BEGINNER,$
View Details,20
Roblox Programming For Beginners,$
View Details,30
PYTHON PROGRAMMING-INTERMEDIATE,$
View Details,20
PYTHON PROGRAMMING-ADVANCE,$
View Details,25
PYTHON PROGRAMMING GROUP CLASSES - BEGINNER,$
View Details,20
Advanced Roblox Scripting Workshop,$
View Details,30
Robotics Adventure Awaits:Join Our Summer Camp for Young Tech Wizards!,$
View Details,20
Java Project-Based Course,$
View Details,20
Artificial Intelligence Adventures: Building AI Chatbot Like Chatgpt (For Kids),$
View Details,22
Python Playground: Create a Hangman Game,$
View Details,20
Scratch Playground: Create a Maze Game!,$
View Details,20
Artificial Intelligence Essentials: Summer Bootcamp,$
View Details,13
"Time Mastery Camp: AI for Jobs, Business, Careers",$
View Details,25
Build Your Own Theme Park in Roblox,$
View Details,20
Java Coding Summer Camp for Young Minds,$
View Details,12
AI Camp for Entrepreneurs: Build Business Success,$
View Details,25
ChatGPT Boot Camp: Basics & Best Uses,$
View Details,12
Create-A-Bot: A Project-Based Robotics Exploration,$
View Details,13
Java & Proramming,$
View Details,20
Chatbot Creators: Design a ChatGPT-like AI,$
View Details,13
Web Development from scratch,$
View Details,30
Summer Camp: Introduction to Python,$
View Details,11
AI Secrets Revealed: Master Productivity Hacks That Will Blow Your Mind! (For Kids),$
View Details,22
"Summer Bootcamp with JavaScript: Real Projects, Real Results",$
View Details,12
AI Disruption: Top Entrepreneurs Harnessing AI for Unprecedented Success! (For Kids),$
View Details,22
The AI Writer's Masterclass: Innovation and Inspiration in Creative Writing! (For Kids),$
View Details,22
Web Development Pro: Intermediate Level,$
View Details,30
Scratch Playground: Create a Scroller Game!,$
View Details,20
AI Pro: Creative Writing Camp for Adults,$
View Details,25
Python Playground: Create Your Own Snake Game,$
View Details,20
Build your own Calculator using Python Bootcamp for kids,$
View Details,20
Python Playground: Create a Tic Tac Toe Game,$
View Details,20
Scratch Playground: Create a Flappy Bird Game!,$
View Details,20
"HTML, CSS, JavaScript: 7-Day Summer Bootcamp",$
View Details,12
Hands-on Java: Project-based Learning for Coding Novices,$
View Details,11
Python Playground: Create a Memory Game,$
View Details,20
Summer Bootcamp: 5-Day Scratch Programming for Beginners,$
View Details,12
5-Day Summer Camp: Python for Beginners,$
View Details,12
Build a Text analyzer using Python Bootcamp for kids,$
View Details,20
Scratch Playground : Create a Platformer Game!,$
View Details,20
Introduction to Artificial Intelligence!,$
View Details,30
"Python Playground: Create a Rock, Paper, Scissors Game",$
View Details,20
AI in Stock Market Success: Career Growth Camp !!,$
View Details,25
From Beginner to AI Pro: Kickstart Your Journey With Artificial Intelligence! (For Kids),$
View Details,22
Game development using python,$
View Details,30
Build a Image manipulator using Python Bootcamp for kids,$
View Details,20
Build a Weather app using Python Bootcamp for kids,$
View Details,20
Build Your Own Roblox Battle Arena,$
View Details,20
The Millionaire's AI Playbook: Learn How to Predict Stock Prices! (For Kids),$
View Details,22
Machine Learning: 7-Day Project-Based Summer Camp,$
View Details,11
AI Pro Camp: Career Growth Catalyst,$
View Details,25
Minecraft Java Programming for Beginners,$
View Details,20
Build a Chatbot using Python Bootcamp for kids,$
View Details,20
Build a Password generator using Python Bootcamp for kids,$
View Details,20
Scratch Playground: Create a Space Game!,$
View Details,20
Create Your Own Roblox Obstacle Course,$
View Details,20
Java Minecraft Creative or Survival Mode,$
View Details,20
AI Camp for Jobs & Business:Build Your own ChatGPT,$
View Details,25
"HTML, CSS, JavaScript Essentials: 5-Day Coding Bootcamp",$
View Details,13
