details,image_link,name,price
"64,000",https://images10.gaadi.com/usedcar_image/3967049/original/processed_f380e9bc-7443-447c-a9ba-919e0903db82.jpg?imwidth=420,2015,₹4.40 Lakh
 kms   ,https://images10.gaadi.com/usedcar_image/3971417/original/processed_6d7225692829c187cdb9ef1218ddc72f.jpg?imwidth=420, ,₹6.40 Lakh
   ,https://images10.gaadi.com/usedcar_image/3971076/original/processed_300030c44ec8e295e05714cc23553e10.jpg?imwidth=420,Hyundai Grand i10,₹4.75 Lakh
Petrol,https://images10.gaadi.com/usedcar_image/3968802/original/processed_461d02f435133dcae79ea202d1295c24.jpg?imwidth=420, ,₹7.70 Lakh
   ,https://images10.gaadi.com/usedcar_image/3965177/original/processed_f08e6f78-940c-494f-8463-2c2ba8e0fcf4.jpg?imwidth=420,AT Asta,₹5.50 Lakh
   ,https://images10.gaadi.com/usedcar_image/3971359/original/processed_6e5e2f2400652202a0f74670bfbaf606.jpg?imwidth=420,2021,₹6.40 Lakh
Automatic,https://stimg.cardekho.com/pwa/img/spacer3x2.png, ,₹37 Lakh
"31,548",https://stimg.cardekho.com/pwa/img/spacer3x2.png,Renault Kiger,₹4.60 Lakh
 kms   ,https://stimg.cardekho.com/pwa/img/spacer3x2.png, ,₹10 Lakh
   ,https://stimg.cardekho.com/pwa/img/spacer3x2.png,RXL AMT,₹3.10 Lakh
Petrol,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,₹4.75 Lakh
   ,https://stimg.cardekho.com/pwa/img/spacer3x2.png, ,₹32 Lakh
   ,https://stimg.cardekho.com/pwa/img/spacer3x2.png,Maruti Celerio,₹9.30 Lakh
Automatic,https://stimg.cardekho.com/pwa/img/spacer3x2.png, ,₹32.45 Lakh
"36,987",https://stimg.cardekho.com/pwa/img/spacer3x2.png,ZXI AMT BSIV,₹6.27 Lakh
 kms   ,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,₹6.90 Lakh
   ,https://stimg.cardekho.com/pwa/img/spacer3x2.png, ,₹19.95 Lakh
Petrol,https://stimg.cardekho.com/pwa/img/spacer3x2.png,Hyundai Elite i20 2018,₹6.15 Lakh
   ,https://stimg.cardekho.com/pwa/img/spacer3x2.png, ,₹7.45 Lakh
   ,https://stimg.cardekho.com/pwa/img/spacer3x2.png,Diesel Asta Option,₹4.25 Lakh
